# Derived from Ho et al. arXiv:2606.02399v1, Fig. 1(e) vector source.
# Source figure SHA256: ba18ac4c15f68f024d5edad3915d1d4ff40d0ea95b9f9adc50516613b92e4382
# Regenerate with: python extract_ho_fig1e.py theory1ev_V4.pdf --output data/ho_fig1e_absorption.csv
pressure_GPa,energy_eV,absorption_au
100,2.49361508,0.87362786
100,2.50111467,0.90758925
100,2.52986373,0.99475874
100,2.53673838,1.06931437
100,2.54767559,1.21146247
100,2.54923796,1.20040185
100,2.55142548,1.18779828
100,2.55423775,1.20684238
100,2.56423734,1.28336378
100,2.57423713,1.33023118
100,2.59454878,1.41983183
100,2.60767331,1.51158177
100,2.61642300,1.55872517
100,2.63798474,1.63560479
100,2.66235896,1.71234788
100,2.68673298,1.78629131
100,2.70298246,1.81042970
100,2.74141844,1.83507457
100,2.77391739,1.81473268
100,2.80829120,1.76138805
100,2.83391512,1.69512715
100,2.87485109,1.56472526
100,2.90735005,1.43967311
100,2.97891013,1.13650458
100,3.05390723,0.82278046
100,3.10328062,0.63981644
100,3.14671639,0.50083649
100,3.19015216,0.38365478
100,3.20015214,0.35978212
120,1.40002000,0.00007060
120,2.39623401,0.01001252
120,2.40248370,0.02586206
120,2.40498370,0.05233911
120,2.40654607,0.10131616
120,2.40779597,0.21525338
120,2.40873360,0.46053941
120,2.40998350,1.05370034
120,2.41029597,0.97458921
120,2.41217082,0.21741442
120,2.41373339,0.09092647
120,2.41560824,0.04996227
120,2.41810823,0.03739246
120,2.42467040,0.04146054
120,2.43123277,0.05632498
120,2.43810741,0.07271918
120,2.44966957,0.12611812
120,2.46029411,0.21048502
120,2.47873091,0.43297890
120,2.48279328,0.41128930
120,2.49029307,0.36503703
120,2.50560492,0.37170071
120,2.51279224,0.39861525
120,2.52029203,0.45918289
120,2.52997914,0.56302257
120,2.54247872,0.69654709
120,2.54935337,0.74060016
120,2.55904068,0.77582705
120,2.58060223,0.83654884
120,2.58841449,0.88075752
120,2.59591428,0.95700733
120,2.60716377,1.08481803
120,2.61310118,1.08397535
